Domain,Area,Element,Months,Year,Value
"Temperature change on land","Central America","Temperature change","June","1962","-0.254"
"Temperature change on land","Central America","Temperature change","June","1963","0.081"
"Temperature change on land","Central America","Temperature change","June","1964","-0.664"
"Temperature change on land","Central America","Temperature change","June","1965","-0.356"
"Temperature change on land","Central America","Temperature change","June","1966","-0.225"
"Temperature change on land","Central America","Temperature change","June","1967","-0.189"
"Temperature change on land","Central America","Temperature change","June","1968","-0.302"
"Temperature change on land","Central America","Temperature change","June","1969","0.361"
"Temperature change on land","Central America","Temperature change","June","1970","-0.154"
"Temperature change on land","Central America","Temperature change","June","1971","-0.553"
"Temperature change on land","Central America","Temperature change","June","1972","-0.258"
"Temperature change on land","Central America","Temperature change","June","1973","-0.309"
"Temperature change on land","Central America","Temperature change","June","1974","-0.016"
"Temperature change on land","Central America","Temperature change","June","1975","-0.181"
"Temperature change on land","Central America","Temperature change","June","1976","-0.18"
"Temperature change on land","Central America","Temperature change","June","1977","-0.117"
"Temperature change on land","Central America","Temperature change","June","1978","0.44"
"Temperature change on land","Central America","Temperature change","June","1979","-0.125"
"Temperature change on land","Central America","Temperature change","June","1980","1.225"
"Temperature change on land","Central America","Temperature change","June","1981","0.01"
"Temperature change on land","Central America","Temperature change","June","1982","0.466"
"Temperature change on land","Central America","Temperature change","June","1983","0.48"
"Temperature change on land","Central America","Temperature change","June","1984","-0.319"
"Temperature change on land","Central America","Temperature change","June","1985","-0.132"
"Temperature change on land","Central America","Temperature change","June","1986","-0.231"
"Temperature change on land","Central America","Temperature change","June","1987","0.195"
"Temperature change on land","Central America","Temperature change","June","1988","-0.099"
"Temperature change on land","Central America","Temperature change","June","1989","0.517"
"Temperature change on land","Central America","Temperature change","June","1990","1.079"
"Temperature change on land","Central America","Temperature change","June","1991","0.154"
"Temperature change on land","Central America","Temperature change","June","1992","0.666"
"Temperature change on land","Central America","Temperature change","June","1993","0.205"
"Temperature change on land","Central America","Temperature change","June","1994","0.655"
"Temperature change on land","Central America","Temperature change","June","1995","0.41"
"Temperature change on land","Central America","Temperature change","June","1996","0.7"
"Temperature change on land","Central America","Temperature change","June","1997","0.347"
"Temperature change on land","Central America","Temperature change","June","1998","1.719"
"Temperature change on land","Central America","Temperature change","June","1999","0.277"
"Temperature change on land","Central America","Temperature change","June","2000","-0.033"
"Temperature change on land","Central America","Temperature change","June","2001","0.654"
"Temperature change on land","Central America","Temperature change","June","2002","0.756"
"Temperature change on land","Central America","Temperature change","June","2003","0.539"
"Temperature change on land","Central America","Temperature change","June","2004","0.286"
"Temperature change on land","Central America","Temperature change","June","2005","0.94"
"Temperature change on land","Central America","Temperature change","June","2006","0.726"
"Temperature change on land","Central America","Temperature change","June","2007","0.586"
"Temperature change on land","Central America","Temperature change","June","2008","0.634"
"Temperature change on land","Central America","Temperature change","June","2009","0.697"
"Temperature change on land","Central America","Temperature change","June","2010","1.083"
"Temperature change on land","Central America","Temperature change","June","2011","1.137"
"Temperature change on land","Central America","Temperature change","June","2012","0.955"
"Temperature change on land","Central America","Temperature change","June","2013","0.978"
"Temperature change on land","Central America","Temperature change","June","2014","1.01"
"Temperature change on land","Central America","Temperature change","June","2015","0.61"
"Temperature change on land","Central America","Temperature change","June","2016","0.808"
"Temperature change on land","Central America","Temperature change","June","2017","1.14"
"Temperature change on land","Central America","Temperature change","June","2018","1.078"
"Temperature change on land","Central America","Temperature change","June","2019","1.291"
"Temperature change on land","Central America","Temperature change","June","2020","1.072"
"Temperature change on land","Central America","Temperature change","June","2021","0.962"
"Temperature change on land","Central America","Temperature change","June","2022","0.839"
"Temperature change on land","Central America","Temperature change","June","2023","2.093"
"Temperature change on land","Central America","Temperature change","July","1961","-0.436"
"Temperature change on land","Central America","Temperature change","July","1962","0.09"
"Temperature change on land","Central America","Temperature change","July","1963","-0.01"
"Temperature change on land","Central America","Temperature change","July","1964","0.025"
"Temperature change on land","Central America","Temperature change","July","1965","0.007"
"Temperature change on land","Central America","Temperature change","July","1966","0.262"
"Temperature change on land","Central America","Temperature change","July","1967","0.098"
"Temperature change on land","Central America","Temperature change","July","1968","-0.439"
"Temperature change on land","Central America","Temperature change","July","1969","0.645"
"Temperature change on land","Central America","Temperature change","July","1970","-0.003"
"Temperature change on land","Central America","Temperature change","July","1971","-0.247"
"Temperature change on land","Central America","Temperature change","July","1972","0.015"
"Temperature change on land","Central America","Temperature change","July","1973","-0.232"
"Temperature change on land","Central America","Temperature change","July","1974","-0.612"
"Temperature change on land","Central America","Temperature change","July","1975","-0.748"
"Temperature change on land","Central America","Temperature change","July","1976","-0.851"
"Temperature change on land","Central America","Temperature change","July","1977","0.119"
"Temperature change on land","Central America","Temperature change","July","1978","0.319"
"Temperature change on land","Central America","Temperature change","July","1979","0.747"
"Temperature change on land","Central America","Temperature change","July","1980","1.098"
"Temperature change on land","Central America","Temperature change","July","1981","0.13"
"Temperature change on land","Central America","Temperature change","July","1982","0.247"
"Temperature change on land","Central America","Temperature change","July","1983","0.317"
"Temperature change on land","Central America","Temperature change","July","1984","-0.699"
"Temperature change on land","Central America","Temperature change","July","1985","-0.264"
"Temperature change on land","Central America","Temperature change","July","1986","-0.371"
"Temperature change on land","Central America","Temperature change","July","1987","0.082"
"Temperature change on land","Central America","Temperature change","July","1988","-0.105"
"Temperature change on land","Central America","Temperature change","July","1989","0.464"
"Temperature change on land","Central America","Temperature change","July","1990","-0.224"
"Temperature change on land","Central America","Temperature change","July","1991","-0.435"
"Temperature change on land","Central America","Temperature change","July","1992","0.173"
"Temperature change on land","Central America","Temperature change","July","1993","-0.021"
"Temperature change on land","Central America","Temperature change","July","1994","0.851"
"Temperature change on land","Central America","Temperature change","July","1995","0.515"
"Temperature change on land","Central America","Temperature change","July","1996","0.51"
"Temperature change on land","Central America","Temperature change","July","1997","0.657"
"Temperature change on land","Central America","Temperature change","July","1998","0.95"
"Temperature change on land","Central America","Temperature change","July","1999","-0.243"
"Temperature change on land","Central America","Temperature change","July","2000","0.451"
"Temperature change on land","Central America","Temperature change","July","2001","0.543"
"Temperature change on land","Central America","Temperature change","July","2002","0.324"
"Temperature change on land","Central America","Temperature change","July","2003","0.489"
"Temperature change on land","Central America","Temperature change","July","2004","0.252"
"Temperature change on land","Central America","Temperature change","July","2005","0.963"
"Temperature change on land","Central America","Temperature change","July","2006","0.681"
"Temperature change on land","Central America","Temperature change","July","2007","0.436"
"Temperature change on land","Central America","Temperature change","July","2008","-0.188"
"Temperature change on land","Central America","Temperature change","July","2009","1.554"
"Temperature change on land","Central America","Temperature change","July","2010","0.274"
"Temperature change on land","Central America","Temperature change","July","2011","0.642"
"Temperature change on land","Central America","Temperature change","July","2012","0.389"
"Temperature change on land","Central America","Temperature change","July","2013","0.332"
"Temperature change on land","Central America","Temperature change","July","2014","0.713"
"Temperature change on land","Central America","Temperature change","July","2015","0.884"
"Temperature change on land","Central America","Temperature change","July","2016","1.407"
"Temperature change on land","Central America","Temperature change","July","2017","0.862"
"Temperature change on land","Central America","Temperature change","July","2018","1.208"
"Temperature change on land","Central America","Temperature change","July","2019","1.322"
"Temperature change on land","Central America","Temperature change","July","2020","1.785"
"Temperature change on land","Central America","Temperature change","July","2021","0.584"
"Temperature change on land","Central America","Temperature change","July","2022","1.302"
"Temperature change on land","Central America","Temperature change","July","2023","2.161"
"Temperature change on land","Central America","Temperature change","August","1961","-0.161"
"Temperature change on land","Central America","Temperature change","August","1962","0.623"
"Temperature change on land","Central America","Temperature change","August","1963","0.153"
"Temperature change on land","Central America","Temperature change","August","1964","0.083"
"Temperature change on land","Central America","Temperature change","August","1965","-0.259"
"Temperature change on land","Central America","Temperature change","August","1966","-0.026"
"Temperature change on land","Central America","Temperature change","August","1967","-0.202"
"Temperature change on land","Central America","Temperature change","August","1968","-0.437"
"Temperature change on land","Central America","Temperature change","August","1969","0.444"
"Temperature change on land","Central America","Temperature change","August","1970","0.115"
"Temperature change on land","Central America","Temperature change","August","1971","-0.836"
"Temperature change on land","Central America","Temperature change","August","1972","-0.351"
"Temperature change on land","Central America","Temperature change","August","1973","-0.636"
"Temperature change on land","Central America","Temperature change","August","1974","-0.136"
"Temperature change on land","Central America","Temperature change","August","1975","-0.43"
"Temperature change on land","Central America","Temperature change","August","1976","-0.283"
"Temperature change on land","Central America","Temperature change","August","1977","0.469"
"Temperature change on land","Central America","Temperature change","August","1978","0.016"
"Temperature change on land","Central America","Temperature change","August","1979","-0.18"
"Temperature change on land","Central America","Temperature change","August","1980","0.301"
"Temperature change on land","Central America","Temperature change","August","1981","0.275"
"Temperature change on land","Central America","Temperature change","August","1982","0.637"
"Temperature change on land","Central America","Temperature change","August","1983","0.188"
"Temperature change on land","Central America","Temperature change","August","1984","-0.359"
"Temperature change on land","Central America","Temperature change","August","1985","0.114"
"Temperature change on land","Central America","Temperature change","August","1986","0.324"
"Temperature change on land","Central America","Temperature change","August","1987","0.294"
"Temperature change on land","Central America","Temperature change","August","1988","-0.043"
"Temperature change on land","Central America","Temperature change","August","1989","0.061"
"Temperature change on land","Central America","Temperature change","August","1990","-0.231"
"Temperature change on land","Central America","Temperature change","August","1991","0.272"
"Temperature change on land","Central America","Temperature change","August","1992","0.008"
"Temperature change on land","Central America","Temperature change","August","1993","0.272"
"Temperature change on land","Central America","Temperature change","August","1994","0.498"
"Temperature change on land","Central America","Temperature change","August","1995","0.573"
"Temperature change on land","Central America","Temperature change","August","1996","-0.099"
"Temperature change on land","Central America","Temperature change","August","1997","0.97"
"Temperature change on land","Central America","Temperature change","August","1998","0.858"
"Temperature change on land","Central America","Temperature change","August","1999","0.357"
"Temperature change on land","Central America","Temperature change","August","2000","0.116"
"Temperature change on land","Central America","Temperature change","August","2001","0.635"
"Temperature change on land","Central America","Temperature change","August","2002","0.74"
"Temperature change on land","Central America","Temperature change","August","2003","0.548"
"Temperature change on land","Central America","Temperature change","August","2004","0.478"
"Temperature change on land","Central America","Temperature change","August","2005","0.651"
"Temperature change on land","Central America","Temperature change","August","2006","0.515"
"Temperature change on land","Central America","Temperature change","August","2007","0.41"
"Temperature change on land","Central America","Temperature change","August","2008","0.291"
"Temperature change on land","Central America","Temperature change","August","2009","1.077"
"Temperature change on land","Central America","Temperature change","August","2010","0.868"
"Temperature change on land","Central America","Temperature change","August","2011","1.375"
"Temperature change on land","Central America","Temperature change","August","2012","0.815"
"Temperature change on land","Central America","Temperature change","August","2013","0.519"
"Temperature change on land","Central America","Temperature change","August","2014","0.666"
"Temperature change on land","Central America","Temperature change","August","2015","1.604"
"Temperature change on land","Central America","Temperature change","August","2016","0.763"
"Temperature change on land","Central America","Temperature change","August","2017","1.079"
"Temperature change on land","Central America","Temperature change","August","2018","1.001"
"Temperature change on land","Central America","Temperature change","August","2019","2.111"
"Temperature change on land","Central America","Temperature change","August","2020","1.714"
"Temperature change on land","Central America","Temperature change","August","2021","0.773"
"Temperature change on land","Central America","Temperature change","August","2022","0.809"
"Temperature change on land","Central America","Temperature change","August","2023","2.086"
"Temperature change on land","Central America","Temperature change","September","1961","-0.229"
"Temperature change on land","Central America","Temperature change","September","1962","0.291"
"Temperature change on land","Central America","Temperature change","September","1963","0.266"
"Temperature change on land","Central America","Temperature change","September","1964","-0.048"
"Temperature change on land","Central America","Temperature change","September","1965","0.019"
"Temperature change on land","Central America","Temperature change","September","1966","0.09"
"Temperature change on land","Central America","Temperature change","September","1967","-0.624"
"Temperature change on land","Central America","Temperature change","September","1968","-0.407"
"Temperature change on land","Central America","Temperature change","September","1969","0.163"
"Temperature change on land","Central America","Temperature change","September","1970","-0.402"
"Temperature change on land","Central America","Temperature change","September","1971","-0.264"
"Temperature change on land","Central America","Temperature change","September","1972","0.196"
"Temperature change on land","Central America","Temperature change","September","1973","0.023"
"Temperature change on land","Central America","Temperature change","September","1974","-0.646"
"Temperature change on land","Central America","Temperature change","September","1975","-0.837"
"Temperature change on land","Central America","Temperature change","September","1976","-0.279"
"Temperature change on land","Central America","Temperature change","September","1977","0.822"
"Temperature change on land","Central America","Temperature change","September","1978","-0.38"
"Temperature change on land","Central America","Temperature change","September","1979","-0.129"
"Temperature change on land","Central America","Temperature change","September","1980","0.423"
"Temperature change on land","Central America","Temperature change","September","1981","0.13"
"Temperature change on land","Central America","Temperature change","September","1982","0.544"
"Temperature change on land","Central America","Temperature change","September","1983","0.577"
"Temperature change on land","Central America","Temperature change","September","1984","-0.412"
"Temperature change on land","Central America","Temperature change","September","1985","-0.069"
"Temperature change on land","Central America","Temperature change","September","1986","-0.021"
"Temperature change on land","Central America","Temperature change","September","1987","0.545"
"Temperature change on land","Central America","Temperature change","September","1988","-0.112"
"Temperature change on land","Central America","Temperature change","September","1989","-0.131"
"Temperature change on land","Central America","Temperature change","September","1990","0.051"
"Temperature change on land","Central America","Temperature change","September","1991","-0.403"
"Temperature change on land","Central America","Temperature change","September","1992","0.379"
"Temperature change on land","Central America","Temperature change","September","1993","-0.287"
"Temperature change on land","Central America","Temperature change","September","1994","0.361"
"Temperature change on land","Central America","Temperature change","September","1995","0.563"
"Temperature change on land","Central America","Temperature change","September","1996","0.204"
"Temperature change on land","Central America","Temperature change","September","1997","0.976"
"Temperature change on land","Central America","Temperature change","September","1998","0.763"
"Temperature change on land","Central America","Temperature change","September","1999","0.224"
"Temperature change on land","Central America","Temperature change","September","2000","0.534"
"Temperature change on land","Central America","Temperature change","September","2001","0.42"
"Temperature change on land","Central America","Temperature change","September","2002","0.764"
"Temperature change on land","Central America","Temperature change","September","2003","0.704"
"Temperature change on land","Central America","Temperature change","September","2004","0.174"
"Temperature change on land","Central America","Temperature change","September","2005","1.122"
"Temperature change on land","Central America","Temperature change","September","2006","0.403"
"Temperature change on land","Central America","Temperature change","September","2007","0.516"
"Temperature change on land","Central America","Temperature change","September","2008","-0.17"
"Temperature change on land","Central America","Temperature change","September","2009","0.867"
"Temperature change on land","Central America","Temperature change","September","2010","0.657"
"Temperature change on land","Central America","Temperature change","September","2011","1.056"
"Temperature change on land","Central America","Temperature change","September","2012","0.591"
"Temperature change on land","Central America","Temperature change","September","2013","0.236"
"Temperature change on land","Central America","Temperature change","September","2014","0.508"
"Temperature change on land","Central America","Temperature change","September","2015","1.445"
"Temperature change on land","Central America","Temperature change","September","2016","0.856"
"Temperature change on land","Central America","Temperature change","September","2017","0.937"
"Temperature change on land","Central America","Temperature change","September","2018","1.023"
"Temperature change on land","Central America","Temperature change","September","2019","1.42"
"Temperature change on land","Central America","Temperature change","September","2020","1.253"
"Temperature change on land","Central America","Temperature change","September","2021","1.003"
"Temperature change on land","Central America","Temperature change","September","2022","0.413"
"Temperature change on land","Central America","Temperature change","September","2023","2.682"
"Temperature change on land","Central America","Temperature change","October","1961","-0.082"
"Temperature change on land","Central America","Temperature change","October","1962","0.65"
"Temperature change on land","Central America","Temperature change","October","1963","0.215"
"Temperature change on land","Central America","Temperature change","October","1964","-0.595"
"Temperature change on land","Central America","Temperature change","October","1965","-0.373"
"Temperature change on land","Central America","Temperature change","October","1966","-0.341"
"Temperature change on land","Central America","Temperature change","October","1967","-0.392"
"Temperature change on land","Central America","Temperature change","October","1968","0.309"
"Temperature change on land","Central America","Temperature change","October","1969","0.164"
"Temperature change on land","Central America","Temperature change","October","1970","-0.486"
"Temperature change on land","Central America","Temperature change","October","1971","-0.21"
"Temperature change on land","Central America","Temperature change","October","1972","0.656"
"Temperature change on land","Central America","Temperature change","October","1973","0.075"
"Temperature change on land","Central America","Temperature change","October","1974","-0.608"
"Temperature change on land","Central America","Temperature change","October","1975","-0.457"
"Temperature change on land","Central America","Temperature change","October","1976","-0.789"
"Temperature change on land","Central America","Temperature change","October","1977","0.62"
"Temperature change on land","Central America","Temperature change","October","1978","-0.076"
"Temperature change on land","Central America","Temperature change","October","1979","0.689"
"Temperature change on land","Central America","Temperature change","October","1980","-0.034"
"Temperature change on land","Central America","Temperature change","October","1981","0.348"
"Temperature change on land","Central America","Temperature change","October","1982","0.131"
"Temperature change on land","Central America","Temperature change","October","1983","0.467"
"Temperature change on land","Central America","Temperature change","October","1984","0.02"
"Temperature change on land","Central America","Temperature change","October","1985","0.273"
"Temperature change on land","Central America","Temperature change","October","1986","-0.219"
"Temperature change on land","Central America","Temperature change","October","1987","0.35"
"Temperature change on land","Central America","Temperature change","October","1988","0.265"
"Temperature change on land","Central America","Temperature change","October","1989","0.083"
"Temperature change on land","Central America","Temperature change","October","1990","0.22"
"Temperature change on land","Central America","Temperature change","October","1991","0.391"
"Temperature change on land","Central America","Temperature change","October","1992","0.396"
"Temperature change on land","Central America","Temperature change","October","1993","0.385"
"Temperature change on land","Central America","Temperature change","October","1994","0.701"
"Temperature change on land","Central America","Temperature change","October","1995","0.427"
"Temperature change on land","Central America","Temperature change","October","1996","0.157"
"Temperature change on land","Central America","Temperature change","October","1997","0.182"
"Temperature change on land","Central America","Temperature change","October","1998","0.78"
"Temperature change on land","Central America","Temperature change","October","1999","0.18"
"Temperature change on land","Central America","Temperature change","October","2000","-0.235"
"Temperature change on land","Central America","Temperature change","October","2001","0.538"
"Temperature change on land","Central America","Temperature change","October","2002","0.842"
"Temperature change on land","Central America","Temperature change","October","2003","0.816"
"Temperature change on land","Central America","Temperature change","October","2004","0.932"
"Temperature change on land","Central America","Temperature change","October","2005","0.39"
"Temperature change on land","Central America","Temperature change","October","2006","0.878"
"Temperature change on land","Central America","Temperature change","October","2007","0.48"
"Temperature change on land","Central America","Temperature change","October","2008","0.338"
"Temperature change on land","Central America","Temperature change","October","2009","0.916"
"Temperature change on land","Central America","Temperature change","October","2010","0.172"
"Temperature change on land","Central America","Temperature change","October","2011","0.487"
"Temperature change on land","Central America","Temperature change","October","2012","0.932"
"Temperature change on land","Central America","Temperature change","October","2013","0.829"
"Temperature change on land","Central America","Temperature change","October","2014","1.13"
"Temperature change on land","Central America","Temperature change","October","2015","1.715"
"Temperature change on land","Central America","Temperature change","October","2016","1.717"
"Temperature change on land","Central America","Temperature change","October","2017","1.129"
"Temperature change on land","Central America","Temperature change","October","2018","0.669"
"Temperature change on land","Central America","Temperature change","October","2019","1.247"
"Temperature change on land","Central America","Temperature change","October","2020","1.608"
"Temperature change on land","Central America","Temperature change","October","2021","1.571"
"Temperature change on land","Central America","Temperature change","October","2022","0.536"
"Temperature change on land","Central America","Temperature change","October","2023","1.624"
"Temperature change on land","Central America","Temperature change","November","1961","-0.476"
"Temperature change on land","Central America","Temperature change","November","1962","0.082"
"Temperature change on land","Central America","Temperature change","November","1963","0.025"
"Temperature change on land","Central America","Temperature change","November","1964","0.037"
"Temperature change on land","Central America","Temperature change","November","1965","1.189"
"Temperature change on land","Central America","Temperature change","November","1966","-0.184"
"Temperature change on land","Central America","Temperature change","November","1967","0.304"
"Temperature change on land","Central America","Temperature change","November","1968","-0.331"
"Temperature change on land","Central America","Temperature change","November","1969","-0.089"
"Temperature change on land","Central America","Temperature change","November","1970","-0.821"
"Temperature change on land","Central America","Temperature change","November","1971","0.146"
"Temperature change on land","Central America","Temperature change","November","1972","0.221"
"Temperature change on land","Central America","Temperature change","November","1973","0.803"
"Temperature change on land","Central America","Temperature change","November","1974","-0.312"
"Temperature change on land","Central America","Temperature change","November","1975","-0.061"
"Temperature change on land","Central America","Temperature change","November","1976","-1.067"
"Temperature change on land","Central America","Temperature change","November","1977","0.619"
"Temperature change on land","Central America","Temperature change","November","1978","0.704"
"Temperature change on land","Central America","Temperature change","November","1979","-0.568"
"Temperature change on land","Central America","Temperature change","November","1980","-0.55"
"Temperature change on land","Central America","Temperature change","November","1981","0.494"
"Temperature change on land","Central America","Temperature change","November","1982","0.037"
"Temperature change on land","Central America","Temperature change","November","1983","0.705"
"Temperature change on land","Central America","Temperature change","November","1984","-0.344"
"Temperature change on land","Central America","Temperature change","November","1985","0.585"
"Temperature change on land","Central America","Temperature change","November","1986","0.744"
"Temperature change on land","Central America","Temperature change","November","1987","0.172"
"Temperature change on land","Central America","Temperature change","November","1988","0.887"
"Temperature change on land","Central America","Temperature change","November","1989","0.819"
"Temperature change on land","Central America","Temperature change","November","1990","0.558"
"Temperature change on land","Central America","Temperature change","November","1991","-0.38"
"Temperature change on land","Central America","Temperature change","November","1992","-0.164"
"Temperature change on land","Central America","Temperature change","November","1993","0.316"
"Temperature change on land","Central America","Temperature change","November","1994","1.18"
"Temperature change on land","Central America","Temperature change","November","1995","1.227"
"Temperature change on land","Central America","Temperature change","November","1996","0.369"
"Temperature change on land","Central America","Temperature change","November","1997","0.814"
"Temperature change on land","Central America","Temperature change","November","1998","1.176"
"Temperature change on land","Central America","Temperature change","November","1999","0.457"
"Temperature change on land","Central America","Temperature change","November","2000","-0.076"
"Temperature change on land","Central America","Temperature change","November","2001","0.817"
"Temperature change on land","Central America","Temperature change","November","2002","0.262"
"Temperature change on land","Central America","Temperature change","November","2003","1.12"
"Temperature change on land","Central America","Temperature change","November","2004","0.118"
"Temperature change on land","Central America","Temperature change","November","2005","0.628"
"Temperature change on land","Central America","Temperature change","November","2006","0.693"
"Temperature change on land","Central America","Temperature change","November","2007","0.776"
"Temperature change on land","Central America","Temperature change","November","2008","0.212"
"Temperature change on land","Central America","Temperature change","November","2009","0.497"
"Temperature change on land","Central America","Temperature change","November","2010","-0.087"
"Temperature change on land","Central America","Temperature change","November","2011","0.507"
"Temperature change on land","Central America","Temperature change","November","2012","0.967"
"Temperature change on land","Central America","Temperature change","November","2013","0.501"
"Temperature change on land","Central America","Temperature change","November","2014","0.034"
"Temperature change on land","Central America","Temperature change","November","2015","1.842"
"Temperature change on land","Central America","Temperature change","November","2016","1.518"
"Temperature change on land","Central America","Temperature change","November","2017","1.788"
"Temperature change on land","Central America","Temperature change","November","2018","0.491"
"Temperature change on land","Central America","Temperature change","November","2019","1.463"
"Temperature change on land","Central America","Temperature change","November","2020","1.976"
"Temperature change on land","Central America","Temperature change","November","2021","1.348"
"Temperature change on land","Central America","Temperature change","November","2022","0.649"
"Temperature change on land","Central America","Temperature change","November","2023","1.437"
"Temperature change on land","Central America","Temperature change","December","1961","0.09"
"Temperature change on land","Central America","Temperature change","December","1962","0.045"
"Temperature change on land","Central America","Temperature change","December","1963","-0.782"
"Temperature change on land","Central America","Temperature change","December","1964","-0.061"
"Temperature change on land","Central America","Temperature change","December","1965","0.411"
"Temperature change on land","Central America","Temperature change","December","1966","-0.717"
"Temperature change on land","Central America","Temperature change","December","1967","-0.201"
"Temperature change on land","Central America","Temperature change","December","1968","-0.115"
"Temperature change on land","Central America","Temperature change","December","1969","0.028"
"Temperature change on land","Central America","Temperature change","December","1970","0.844"
"Temperature change on land","Central America","Temperature change","December","1971","0.473"
"Temperature change on land","Central America","Temperature change","December","1972","0.364"
"Temperature change on land","Central America","Temperature change","December","1973","-0.645"
"Temperature change on land","Central America","Temperature change","December","1974","-0.438"
"Temperature change on land","Central America","Temperature change","December","1975","-0.431"
"Temperature change on land","Central America","Temperature change","December","1976","-0.371"
"Temperature change on land","Central America","Temperature change","December","1977","1.15"
"Temperature change on land","Central America","Temperature change","December","1978","0.365"
"Temperature change on land","Central America","Temperature change","December","1979","0.241"
"Temperature change on land","Central America","Temperature change","December","1980","0.284"
"Temperature change on land","Central America","Temperature change","December","1981","1.07"
"Temperature change on land","Central America","Temperature change","December","1982","-0.142"
"Temperature change on land","Central America","Temperature change","December","1983","0.44"
"Temperature change on land","Central America","Temperature change","December","1984","0.834"
"Temperature change on land","Central America","Temperature change","December","1985","0.252"
"Temperature change on land","Central America","Temperature change","December","1986","0.068"
"Temperature change on land","Central America","Temperature change","December","1987","0.609"
"Temperature change on land","Central America","Temperature change","December","1988","0.14"
"Temperature change on land","Central America","Temperature change","December","1989","-0.919"
"Temperature change on land","Central America","Temperature change","December","1990","0.357"
"Temperature change on land","Central America","Temperature change","December","1991","0.395"
"Temperature change on land","Central America","Temperature change","December","1992","0.79"
"Temperature change on land","Central America","Temperature change","December","1993","0.802"
"Temperature change on land","Central America","Temperature change","December","1994","1.191"
"Temperature change on land","Central America","Temperature change","December","1995","0.694"
"Temperature change on land","Central America","Temperature change","December","1996","0.597"
"Temperature change on land","Central America","Temperature change","December","1997","-0.385"
"Temperature change on land","Central America","Temperature change","December","1998","0.436"
"Temperature change on land","Central America","Temperature change","December","1999","-0.21"
"Temperature change on land","Central America","Temperature change","December","2000","0.047"
"Temperature change on land","Central America","Temperature change","December","2001","0.37"
"Temperature change on land","Central America","Temperature change","December","2002","0.333"
"Temperature change on land","Central America","Temperature change","December","2003","-0.158"
"Temperature change on land","Central America","Temperature change","December","2004","0.206"
"Temperature change on land","Central America","Temperature change","December","2005","0.778"
"Temperature change on land","Central America","Temperature change","December","2006","0.264"
"Temperature change on land","Central America","Temperature change","December","2007","0.964"
"Temperature change on land","Central America","Temperature change","December","2008","0.841"
"Temperature change on land","Central America","Temperature change","December","2009","0.281"
"Temperature change on land","Central America","Temperature change","December","2010","0.046"
"Temperature change on land","Central America","Temperature change","December","2011","-0.065"
"Temperature change on land","Central America","Temperature change","December","2012","1.368"
"Temperature change on land","Central America","Temperature change","December","2013","0.758"
"Temperature change on land","Central America","Temperature change","December","2014","1.027"
"Temperature change on land","Central America","Temperature change","December","2015","1.857"
"Temperature change on land","Central America","Temperature change","December","2016","1.889"
"Temperature change on land","Central America","Temperature change","December","2017","0.879"
"Temperature change on land","Central America","Temperature change","December","2018","0.579"
"Temperature change on land","Central America","Temperature change","December","2019","1.168"
"Temperature change on land","Central America","Temperature change","December","2020","0.565"
"Temperature change on land","Central America","Temperature change","December","2021","2.616"
"Temperature change on land","Central America","Temperature change","December","2022","1.212"
"Temperature change on land","Central America","Temperature change","December","2023","1.33"
"Temperature change on land","Caribbean","Temperature change","January","1961","0.157"
"Temperature change on land","Caribbean","Temperature change","January","1962","0.472"
"Temperature change on land","Caribbean","Temperature change","January","1963","-0.107"
"Temperature change on land","Caribbean","Temperature change","January","1964","0.186"
"Temperature change on land","Caribbean","Temperature change","January","1965","-0.574"
"Temperature change on land","Caribbean","Temperature change","January","1966","0.129"
"Temperature change on land","Caribbean","Temperature change","January","1967","0.337"
"Temperature change on land","Caribbean","Temperature change","January","1968","-0.362"
"Temperature change on land","Caribbean","Temperature change","January","1969","0.118"
"Temperature change on land","Caribbean","Temperature change","January","1970","-0.226"
"Temperature change on land","Caribbean","Temperature change","January","1971","0.03"
"Temperature change on land","Caribbean","Temperature change","January","1972","0.976"
"Temperature change on land","Caribbean","Temperature change","January","1973","0.902"
"Temperature change on land","Caribbean","Temperature change","January","1974","0.746"
"Temperature change on land","Caribbean","Temperature change","January","1975","0.757"
"Temperature change on land","Caribbean","Temperature change","January","1976","-0.611"
"Temperature change on land","Caribbean","Temperature change","January","1977","-0.159"
"Temperature change on land","Caribbean","Temperature change","January","1978","-0.105"
"Temperature change on land","Caribbean","Temperature change","January","1979","0.446"
"Temperature change on land","Caribbean","Temperature change","January","1980","0.591"
"Temperature change on land","Caribbean","Temperature change","January","1981","-0.856"
"Temperature change on land","Caribbean","Temperature change","January","1982","1.128"
"Temperature change on land","Caribbean","Temperature change","January","1983","0.829"
"Temperature change on land","Caribbean","Temperature change","January","1984","0.73"
"Temperature change on land","Caribbean","Temperature change","January","1985","-0.495"
"Temperature change on land","Caribbean","Temperature change","January","1986","0.235"
"Temperature change on land","Caribbean","Temperature change","January","1987","0.345"
"Temperature change on land","Caribbean","Temperature change","January","1988","1.128"
"Temperature change on land","Caribbean","Temperature change","January","1989","1.208"
"Temperature change on land","Caribbean","Temperature change","January","1990","1.933"
"Temperature change on land","Caribbean","Temperature change","January","1991","1.855"
"Temperature change on land","Caribbean","Temperature change","January","1992","0.63"
"Temperature change on land","Caribbean","Temperature change","January","1993","0.998"
"Temperature change on land","Caribbean","Temperature change","January","1994","1.185"
"Temperature change on land","Caribbean","Temperature change","January","1995","0.711"
